region_code,region_name,year,population
ES111,A Coruña,1990,1100923
ES111,A Coruña,1991,1097943
ES111,A Coruña,1992,1098032
ES111,A Coruña,1993,1098871
ES111,A Coruña,1994,1099499
ES111,A Coruña,1995,1099299
ES111,A Coruña,1996,1098598
ES111,A Coruña,1997,1097600
ES111,A Coruña,1998,1097304
ES111,A Coruña,1999,1097014
ES111,A Coruña,2000,1096111
ES111,A Coruña,2001,1095881
ES111,A Coruña,2002,1096076
ES111,A Coruña,2003,1100951
ES111,A Coruña,2004,1104703
ES111,A Coruña,2005,1109964
ES111,A Coruña,2006,1115415
ES111,A Coruña,2007,1121341
ES111,A Coruña,2008,1128598
ES111,A Coruña,2009,1135281
ES111,A Coruña,2010,1138110
ES111,A Coruña,2011,1140071
ES111,A Coruña,2012,1141178
ES111,A Coruña,2013,1137890
ES111,A Coruña,2014,1132596
ES111,A Coruña,2015,1127596
ES111,A Coruña,2016,1123015
ES111,A Coruña,2017,1120302
ES111,A Coruña,2018,1120074
ES111,A Coruña,2019,1120432
ES111,A Coruña,2020,1121994
ES111,A Coruña,2021,1120501
ES111,A Coruña,2022,1119166
ES111,A Coruña,2023,1123884
ES111,A Coruña,2024,1128449
ES112,Lugo,1990,388367
ES112,Lugo,1991,385194
ES112,Lugo,1992,382791
ES112,Lugo,1993,380684
ES112,Lugo,1994,378744
ES112,Lugo,1995,376501
ES112,Lugo,1996,373816
ES112,Lugo,1997,370966
ES112,Lugo,1998,368221
ES112,Lugo,1999,365543
ES112,Lugo,2000,362565
ES112,Lugo,2001,359818
ES112,Lugo,2002,357301
ES112,Lugo,2003,355698
ES112,Lugo,2004,354343
ES112,Lugo,2005,353357
ES112,Lugo,2006,352620
ES112,Lugo,2007,352245
ES112,Lugo,2008,352638
ES112,Lugo,2009,352326
ES112,Lugo,2010,351000
ES112,Lugo,2011,349523
ES112,Lugo,2012,347630
ES112,Lugo,2013,344603
ES112,Lugo,2014,341495
ES112,Lugo,2015,338430
ES112,Lugo,2016,335752
ES112,Lugo,2017,333152
ES112,Lugo,2018,331128
ES112,Lugo,2019,329070
ES112,Lugo,2020,327573
ES112,Lugo,2021,326068
ES112,Lugo,2022,324240
ES112,Lugo,2023,324267
ES112,Lugo,2024,325048
ES113,Ourense,1990,363645
ES113,Ourense,1991,355065
ES113,Ourense,1992,352832
ES113,Ourense,1993,351817
ES113,Ourense,1994,350804
ES113,Ourense,1995,349605
ES113,Ourense,1996,348107
ES113,Ourense,1997,346490
ES113,Ourense,1998,344868
ES113,Ourense,1999,343136
ES113,Ourense,2000,341375
ES113,Ourense,2001,339681
ES113,Ourense,2002,338161
ES113,Ourense,2003,337307
ES113,Ourense,2004,336021
ES113,Ourense,2005,335066
ES113,Ourense,2006,334131
ES113,Ourense,2007,333543
ES113,Ourense,2008,332807
ES113,Ourense,2009,332164
ES113,Ourense,2010,331648
ES113,Ourense,2011,330017
ES113,Ourense,2012,328184
ES113,Ourense,2013,325140
ES113,Ourense,2014,321472
ES113,Ourense,2015,318288
ES113,Ourense,2016,314476
ES113,Ourense,2017,311385
ES113,Ourense,2018,309290
ES113,Ourense,2019,307764
ES113,Ourense,2020,306825
ES113,Ourense,2021,305297
ES113,Ourense,2022,304225
ES113,Ourense,2023,304563
ES113,Ourense,2024,304467
ES114,Pontevedra,1990,898448
ES114,Pontevedra,1991,897356
ES114,Pontevedra,1992,898220
ES114,Pontevedra,1993,899877
ES114,Pontevedra,1994,901070
ES114,Pontevedra,1995,901708
ES114,Pontevedra,1996,901834
ES114,Pontevedra,1997,901947
ES114,Pontevedra,1998,902051
ES114,Pontevedra,1999,902208
ES114,Pontevedra,2000,902420
ES114,Pontevedra,2001,902645
ES114,Pontevedra,2002,905271
ES114,Pontevedra,2003,911203
ES114,Pontevedra,2004,916519
ES114,Pontevedra,2005,922302
ES114,Pontevedra,2006,927941
ES114,Pontevedra,2007,933945
ES114,Pontevedra,2008,940723
ES114,Pontevedra,2009,947698
ES114,Pontevedra,2010,951708
ES114,Pontevedra,2011,953800
ES114,Pontevedra,2012,954924
ES114,Pontevedra,2013,953087
ES114,Pontevedra,2014,950254
ES114,Pontevedra,2015,948487
ES114,Pontevedra,2016,945852
ES114,Pontevedra,2017,944116
ES114,Pontevedra,2018,942556
ES114,Pontevedra,2019,942944
ES114,Pontevedra,2020,946213
ES114,Pontevedra,2021,946311
ES114,Pontevedra,2022,945198
ES114,Pontevedra,2023,946710
ES114,Pontevedra,2024,947869
ES120,Asturias,1990,1102849
ES120,Asturias,1991,1095557
ES120,Asturias,1992,1092874
ES120,Asturias,1993,1091116
ES120,Asturias,1994,1088497
ES120,Asturias,1995,1086001
ES120,Asturias,1996,1082714
ES120,Asturias,1997,1079198
ES120,Asturias,1998,1076012
ES120,Asturias,1999,1072219
ES120,Asturias,2000,1068287
ES120,Asturias,2001,1064851
ES120,Asturias,2002,1062786
ES120,Asturias,2003,1062326
ES120,Asturias,2004,1062412
ES120,Asturias,2005,1062753
ES120,Asturias,2006,1063488
ES120,Asturias,2007,1065287
ES120,Asturias,2008,1071079
ES120,Asturias,2009,1076276
ES120,Asturias,2010,1077102
ES120,Asturias,2011,1075869
ES120,Asturias,2012,1074308
ES120,Asturias,2013,1067425
ES120,Asturias,2014,1058560
ES120,Asturias,2015,1049328
ES120,Asturias,2016,1040407
ES120,Asturias,2017,1033550
ES120,Asturias,2018,1027091
ES120,Asturias,2019,1021469
ES120,Asturias,2020,1018053
ES120,Asturias,2021,1012117
ES120,Asturias,2022,1004960
ES120,Asturias,2023,1006060
ES120,Asturias,2024,1009599
ES130,Cantabria,1990,527688
ES130,Cantabria,1991,527567
ES130,Cantabria,1992,528528
ES130,Cantabria,1993,529686
ES130,Cantabria,1994,530550
ES130,Cantabria,1995,531185
ES130,Cantabria,1996,531601
ES130,Cantabria,1997,531994
ES130,Cantabria,1998,532564
ES130,Cantabria,1999,532996
ES130,Cantabria,2000,533417
ES130,Cantabria,2001,534231
ES130,Cantabria,2002,536286
ES130,Cantabria,2003,541651
ES130,Cantabria,2004,548014
ES130,Cantabria,2005,554688
ES130,Cantabria,2006,561042
ES130,Cantabria,2007,568196
ES130,Cantabria,2008,577267
ES130,Cantabria,2009,584657
ES130,Cantabria,2010,588512
ES130,Cantabria,2011,590867
ES130,Cantabria,2012,592383
ES130,Cantabria,2013,589789
ES130,Cantabria,2014,587491
ES130,Cantabria,2015,585184
ES130,Cantabria,2016,582494
ES130,Cantabria,2017,581421
ES130,Cantabria,2018,581533
ES130,Cantabria,2019,581989
ES130,Cantabria,2020,583011
ES130,Cantabria,2021,584708
ES130,Cantabria,2022,585451
ES130,Cantabria,2023,588387
ES130,Cantabria,2024,590851
ES211,Araba/Álava,1990,272041
ES211,Araba/Álava,1991,272499
ES211,Araba/Álava,1992,273726
ES211,Araba/Álava,1993,275212
ES211,Araba/Álava,1994,276638
ES211,Araba/Álava,1995,277795
ES211,Araba/Álava,1996,278897
ES211,Araba/Álava,1997,280128
ES211,Araba/Álava,1998,281403
ES211,Araba/Álava,1999,282637
ES211,Araba/Álava,2000,283795
ES211,Araba/Álava,2001,285198
ES211,Araba/Álava,2002,286646
ES211,Araba/Álava,2003,290747
ES211,Araba/Álava,2004,294301
ES211,Araba/Álava,2005,298832
ES211,Araba/Álava,2006,302491
ES211,Araba/Álava,2007,306482
ES211,Araba/Álava,2008,310940
ES211,Araba/Álava,2009,315284
ES211,Araba/Álava,2010,317733
ES211,Araba/Álava,2011,319847
ES211,Araba/Álava,2012,320564
ES211,Araba/Álava,2013,320199
ES211,Araba/Álava,2014,320451
ES211,Araba/Álava,2015,321541
ES211,Araba/Álava,2016,322974
ES211,Araba/Álava,2017,325250
ES211,Araba/Álava,2018,327763
ES211,Araba/Álava,2019,330104
ES211,Araba/Álava,2020,332874
ES211,Araba/Álava,2021,333485
ES211,Araba/Álava,2022,333909
ES211,Araba/Álava,2023,336308
ES211,Araba/Álava,2024,338594
ES212,Gipuzkoa,1990,680881
ES212,Gipuzkoa,1991,677245
ES212,Gipuzkoa,1992,676263
ES212,Gipuzkoa,1993,676075
ES212,Gipuzkoa,1994,675783
ES212,Gipuzkoa,1995,675295
ES212,Gipuzkoa,1996,674868
ES212,Gipuzkoa,1997,674324
ES212,Gipuzkoa,1998,674135
ES212,Gipuzkoa,1999,673606
ES212,Gipuzkoa,2000,673296
ES212,Gipuzkoa,2001,673328
ES212,Gipuzkoa,2002,673592
ES212,Gipuzkoa,2003,676777
ES212,Gipuzkoa,2004,680750
ES212,Gipuzkoa,2005,684264
ES212,Gipuzkoa,2006,688423
ES212,Gipuzkoa,2007,693436
ES212,Gipuzkoa,2008,699395
ES212,Gipuzkoa,2009,704166
ES212,Gipuzkoa,2010,705974
ES212,Gipuzkoa,2011,707256
ES212,Gipuzkoa,2012,708422
ES212,Gipuzkoa,2013,709043
ES212,Gipuzkoa,2014,708675
ES212,Gipuzkoa,2015,709766
ES212,Gipuzkoa,2016,711261
ES212,Gipuzkoa,2017,713130
ES212,Gipuzkoa,2018,715749
ES212,Gipuzkoa,2019,719613
ES212,Gipuzkoa,2020,724347
ES212,Gipuzkoa,2021,725508
ES212,Gipuzkoa,2022,723241
ES212,Gipuzkoa,2023,726712
ES212,Gipuzkoa,2024,729722
ES213,Bizkaia,1990,1163966
ES213,Bizkaia,1991,1156661
ES213,Bizkaia,1992,1153329
ES213,Bizkaia,1993,1150915
ES213,Bizkaia,1994,1147961
ES213,Bizkaia,1995,1144857
ES213,Bizkaia,1996,1141092
ES213,Bizkaia,1997,1137442
ES213,Bizkaia,1998,1134219
